  Game.cpp
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\SceneObject.h(70,1): warning C4267: 'return': conversion from 'size_t' to 'int', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\SpriteObject.h(26,17): warning C4244: 'return': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\SpriteObject.h(30,17): warning C4244: 'return': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(174,67): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(180,68): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(186,67): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(192,67): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(260,60): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(265,57): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(271,58): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(277,57): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(308,69): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(326,70): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(344,69): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(363,69): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(382,61): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(392,61): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(406,58): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(416,58): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(430,59): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(439,59): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(453,58): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
L:\C++ introduction project\c--2\Retrogame C++ The Legend\Retrogame C++ The Legend\Game.cpp(463,58): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
  Retrogame C++ The Legend.vcxproj -> L:\C++ introduction project\c--2\Retrogame C++ The Legend\x64\Debug\Retrogame C++ The Legend.exe
